id,is_iceberg
5941774d,0.016455
4023181e,0.986631
b20200e4,0.000001
e7f018bb,0.999509
4371c8c3,0.997644
a8d9b1fd,0.838073
29e7727e,0.001177
92a51ffb,0.999978
c769ac97,0.000000
aee0547d,0.000000
565b28ac,0.000000
e04e9775,0.995020
8e8161d1,0.000008
4cf4d256,0.998114
139e5324,0.932661
f156976f,0.000385
68a117cc,0.359770
d9aa7a56,0.392820
9005b143,0.647836
5f6d3988,0.997509
9ad70954,0.997684
b9087b9e,0.140065
a39a1427,0.467032
82fbe8ed,0.015852
1fae4879,0.000000
6dd8f13d,0.000101
bbad5958,0.218823
54527583,0.005434
be8fa29c,0.970119
81a3328f,0.999956
1a3c0ab3,0.000000
4deeeb8b,0.931118
ac6d5632,0.814419
472dadb5,0.897149
96093f95,0.942001
f5b4e3df,0.999595
e01a3c92,0.007706
001680af,0.982691
8e639f33,0.089906
a2c16612,0.943964
a6d76474,0.000000
19c47684,0.705624
015827b6,0.999179
7df7f7ce,0.134875
0bbf1a3f,0.867033
636cfbb7,0.920852
7370030a,0.999880
43aa97ad,0.000000
ba2b5e63,0.999903
dfdd335b,0.760226
e79b13dc,0.215737
dc32b195,0.858664
6d868590,0.999437
75fa59aa,0.916768
ffe50836,0.836973
a7bfd784,0.997803
b3d569e3,0.002702
6c538c5b,0.015691
5c7c15f4,0.047987
0b745139,0.606242
fd14608e,0.996333
f0bc8305,0.995603
a10ccb28,0.999936
543304c7,0.915679
6c3a4078,0.000000
9b73cc75,0.988279
5c6c71b1,0.080750
09ee9186,0.799553
207c35cf,0.985325
153c813e,0.000000
5605d58b,0.684606
642ca396,0.000099
d32d72c0,0.975950
16646a17,0.997738
384074af,0.852034
69bf1e8c,0.997431
9e90a054,0.885785
89dbe7f7,0.999932
dbd27d22,0.718577
a2ea1561,0.999451
d63402af,0.994939
1ac8bb92,0.999582
8beffca5,0.073633
46741f3e,0.000022
e5ee6aa7,0.977706
5ecd892b,0.697675
69892166,0.153970
2f725a81,0.736599
810abfe4,0.000001
e6f973e6,0.980572
c60a5c46,0.837935
c42b9e08,0.854777
c3f00c23,0.382883
5307fdb8,0.999355
3e4f005e,0.000765
4a4cc2e0,0.840164
9bdd88d1,0.000000
0d832bed,0.004715
14a134fa,0.253131
78a41676,0.000001
0bd4658e,0.766279
4a311bb0,0.877703
f939c817,0.894212
956adc4d,0.999779
f8a119f5,0.997243
61faa1ad,0.902016
6725eb3e,0.312046
17b3a8fd,0.000135
49a88dfc,0.000000
2d6ec645,0.911742
0d4d77ba,0.673002
3ee672a2,0.999994
738b41fd,0.998209
f7fb320d,0.806971
b42fad18,0.000000
4ab8b00a,0.624870
f7870f2b,0.481966
4978666a,0.782662
f1b0d6c7,0.000092
5642407f,0.001742
36d4ff92,0.999411
4139aba2,0.899055
7585ce58,0.716314
33e25984,0.999997
ac46f3c9,0.999184
fc34a5b8,0.913100
85c36a8f,0.345760
b2d8a426,0.387541
13ec60d1,0.923345
9d440f42,0.207535
1c0a891e,0.724180
981c3bc3,1.000000
295604f4,0.991973
16ca16c3,0.333578
b4dda837,0.530238
88d088ef,0.000914
1b4fa160,0.894262
f371bd82,0.000000
b130a0b7,0.999916
ebf1de82,0.849217
01e651c3,0.999528
51b1fecc,0.829823
fa635a31,0.000000
97b7d789,0.899084
2f598053,0.637180
c0e3e148,0.859363
cfa175a8,0.304727
3d7e09d8,0.990635
44a13d1b,0.995611
c66b0948,0.955543
976a6d64,0.164861
8bbd8909,0.977400
522890fd,0.955041
f23a3b95,0.998722
680039dc,0.982618
93028e53,0.482098
22a16932,0.830138
7d8126d2,0.002160
ba2ecd75,0.000000
8071bdd7,0.968122
96d5aeee,0.000000
154be68f,0.986720
d8c2bfe2,0.998512
f76d47b0,0.999604
0e781ade,0.291026
13cf6060,0.000000
cd99f710,0.979953
d10005bb,0.000009
3a31445f,0.999732
3157202d,0.000702
6ee64703,0.854507
e5de8685,0.486693
02cc70ba,0.013749
50984a87,0.864788
fa94957a,0.997000
eab406b4,0.495775
3ad39398,0.996325
9ecf3802,0.998642
6048ae7b,0.000000
9dc68871,0.000001
13701465,0.781221
8d8779f3,0.000000
0712f269,0.984315
722c2597,0.000000
478a2b08,0.888086
38f5fb41,0.947510
c52ad74d,0.999970
0c85fd09,0.000000
f1582cba,0.928092
ff836697,0.937179
ddfe4802,0.000051
3cef3bc7,0.999556
